Recipe Name,Prep Time,Cook Time,Total Time,Serves,Freezing Time,Ingredients,Directions
Apple Pie Muffins,PT25M,PT60M,PT115M,"['12', '12 muffins']",N/A,"For the Spiced Apples:
3 tablespoons (42g) unsalted butter
1 medium  sweet apple such asHoneycrisp (about 6 ounces; 160g),  cut into 1/4-inch pieces (1 1/4 cups)
1 small tart apple such as Granny Smith (about 4 ounces; 120g), cut into 1/4 inch pieces (1 cup)
1/4 cup packed light brown sugar ( 2 ounces; 55g)
3/4 teaspoon ground cinnamon
1/4 teaspoon Diamond Crystal kosher salt; for table salt use half as much by volume
1/4 tsp. pumpkin pie spice (see notes)","For the Spiced Apples: In a 10-inch skillet, melt butter over medium heat. Once melted, add apple pieces, brown sugar, cinnamon, salt, and pie spice and cook, stirring frequently, until apples are tender, about 10 minutes.
Transfer apple mixture to a fine mesh strainer set over a medium bowl. Thoroughly strain, gently stirring to remove as much excess moisture from apples as possible; set aside to let apples strain until they reach room temperature, about 15 minutes. Spread strained apples in an even layer on a large plate and refrigerate uncovered until cooled, 15 to 20 minutes. Reserve strained sauce for use as a glaze.
For the Muffins: Adjust oven rack to middle position and preheat oven to 400°F (205℃). Line a 12-cup muffin tin with paper liners. Stir together brown sugar, pie spice, 1/2 cup (2.25 ounces; 64g) of the flour, and 1 1/2 teaspoons of the cinnamon in a medium bowl until well combined. Work in 4 tablespoons (2 ounces; 57g) of the butter using fingertips until mixture is well combined and resembles wet sand. Set aside.
In a large bowl with an electric mixer, beat granulated sugar and remaining 2/3 cup butter on medium speed until fluffy, 3 to 4 minutes, stopping to scrape down sides as needed. Add eggs, one at a time, beating until combined after each addition, about 30 seconds.
In a medium bowl, whisk together salt, baking powder, baking soda, remaining 1 3/4 cups flour, and remaining 1 teaspoon cinnamon in a medium bowl. In a small measuring cup with a spout, whisk together sour cream and cider until well combined.
Stir flour mixture into butter mixture in 3 additions, alternating with sour cream mixture, until flour mixture is moistened but large flour streaks remain. Fold cooled apples into batter until evenly dispersed and batter is just combined. (Do not overmix.)
Spoon 2 tablespoons batter into bottom of each paper liner. Sprinkle 1 packed teaspoon brown sugar mixture evenly over batter in each muffin liner; top with remaining batter (about 3 tablespoons per well) spreading into an even layer. (Liners will be very full.)
Stir oats into remaining brown sugar mixture; sprinkle evenly over batter (about 2 packed teaspoons per muffin), and press gently to adhere.
Bake for 5 minutes. Reduce oven temperature to 375°F and continue baking until a wooden pick inserted in center comes out clean, 12 to 18 minutes, rotating pan halfway. Let cool in pan 10 minutes.
Carefully remove from pan and serve warm or at room temperature, drizzling with reserved strained apple juices from step 2 just before serving."
The World&#39;s Crispiest Egg May Be This Corn-Encrusted Colombian Snack,PT10M,PT25M,PT35M,"['8', '8 arepas']",N/A,"1 cup yellow or white masarepa (5 3/4 ounces; 163 g)
1 cup (236 g) water, plus more if needed
1/2 teaspoon kosher salt (for table salt, use half as much by volume), plus more as needed
Vegetable or other neutral oil, for frying
8 large eggs","In a large mixing bowl, stir together masarepa, water, and salt. Using a clean hand, knead dough until evenly mixed and cohesive, about 1 minute. Let stand 5 minutes.
Using a sharp knife or scissors, cut the sides of a 1-quart or 1-gallon zipper-lock bag so that it is attached only at the bottom fold. In a large Dutch oven or pot, heat at least 2 inches of oil to 330°F (165°C) on an instant-read or fry thermometer. Meanwhile, divide dough into 8 even portions (about 1 3/4 ounces each); if dough is very brittle, mix in an additional 1 tablespoon water to moisten, then divide into balls and cover loosely with a kitchen towel,
Working with one ball of arepa dough at a time, roll between moistened hands to form a uniform ball. Set ball on the opened zipper-lock bag, then fold the bag closed over it. Using a tortilla press or a flat, heavy object like a cutting board or cast iron pan, evenly press down on the dough ball to flatten it into an even circle, roughly 3 inches in diameter and just under 1/4 inch thick. Smooth any jagged edges of the arepa (this can be done by smoothing the edges with a fingernail through the plastic, or with a wet finger directly on the arepa).
Crack 1 large egg into a small (preferably spouted) vessel or cup, being careful not to break the yolk. Season lightly with salt. Very carefully peel arepa from the plastic, taking care not to tear it, and gently lower it into the oil (this is the trickiest part, and it is easy to accidentally tear the uncooked arepa at this point; if you do, just roll it into a ball again, press it between the plastic back into a round, smooth the edges, and try again). Fry the arepa, gently spooning hot oil on top after it rises to the surface, until inflated, about 2 minutes. Carefully flip arepa and fry on second side 1 minute longer. Using a spider or slotted spoon, carefully transfer arepa to towels to drain.
When cool enough to handle, use a sharp knife to carefully cut slit into the arepa near the edge and large enough to slide the egg through. While holding the arepa in one hand and gently squeezing it to keep the slit open, very carefully slide the egg into the arepa.
Carefully lower the arepa back into the oil, using the spider or spoon to keep the slit-open side of the arepa slightly elevated until egg beings to set, then lower arepa fully into the oil. Fry until egg is cooked to your desired doneness, 1 to 2 minutes for a runnier yolk and 3 to 4 minutes for a more set one. Transfer to towels to drain once more. Repeat with remaining area dough and eggs. Serve warm."
Make-Ahead Rice Cooker Oatmeal,PT5M,"{'@type': 'Duration', 'minValue': 'PT45M', 'maxValue': 'PT90M'}","{'@type': 'Duration', 'minValue': 'PT50M', 'maxValue': 'PT95M'}",4,N/A,"1 cup (180g) steel-cut oats
3 cups (710ml) water
Pinch kosher salt","In a rice cooker, combine oats, water, and salt. Close cooker and set to porridge mode (or the most appropriate mode for your cooker; consult manufacturer&#39;s directions). If a timer function is available on your cooker, you can use it to set when you want your oatmeal ready (for example, you can fill the cooker the night before and specify that you want it ready at 7am; the cooker will turn on early enough to ensure it&#39;s ready when you wake up). If not using a timer function, the cooking time will vary with different rice cooker models, anywhere from about 40 minutes up to 1 hour 30 minutes.
When ready, open rice cooker and stir oatmeal to ensure an even consistency throughout. Spoon into bowls and top as desired, then serve right away."
Easy Overnight Oats (That Taste Like Dessert for Breakfast),PT5M,N/A,PT485M,2,N/A,"1 3/4 cups oat milk (see notes)
1 1/2 teaspoons to 3 teaspoons maple syrup, plus more to taste
1 teaspoon vanilla paste or extract (optional)
1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume1 cup rolled oats (about 3 3/4 ounces; 105g)1 tablespoon chia seeds
Fruit, for serving (optional)","In a 1-quart container or medium bowl, whisk together oat milk, maple syrup, vanilla paste or extract (if using), and salt until well combined.
Add oats and chia seeds and stir to combine.
Refrigerate until oats have softened and thickened, at least 8 hours and up to 24 hours. Sweeten with additional maple syrup as needed and serve with fresh fruit, if desired."
5-Minute,PT2M,PT3M,PT10M,2,N/A,"2 tablespoons (30ml) maple syrup or honey
1 tablespoon (14g) melted unsalted butter or neutral oil such a vegetable or canola oil
1/4 teaspoon vanilla extract
1/8 teaspoon Diamond Crystal kosher salt; for table salt, use a pinch
Pinch cinnamon, optional
1/3 cup rolled oats (about 1 1/4 ounces; 38g)
2 tablespoons chopped raw nuts or seeds, such as almonds, walnuts, or sunflower or pumpkin seeds
2 tablespoons raisins (about 3/4 ounce; 20g), or dried cranberries or dried blueberries, or chopped dried cherries or apricots","In a small bowl, use a fork or small whisk to combine maple syrup, melted butter or oil, vanilla extract, salt, and cinnamon, if using. Add oats and nuts and toss to evenly coat. Transfer to a microwave-safe small plate and, using a spatula or back of a soup spoon, gently press mixture into a flat, even layer. Microwave on high power, stirring every 30 seconds, until oats are golden and fragrant, 2 to 3 minutes.
Working quickly, in a medium bowl, stir dried fruit into the hot granola. (The granola should still be hot and pliable.) Transfer back to plate, then gently press into an even thin layer, and let cool completely, about 5 minutes. Break cooled granola into pieces of desired size. Serve."
The Unexpected Ingredient That Makes This Peanut–Butter Banana Smoothie Shine,PT5M,N/A,PT5M,N/A,N/A,"3/4 cup (175ml) whole milk (see notes)1 medium banana, peeled, cut into 1/2-inch slices, and frozen (about 5 1/2 ounces; 155g)2 tablespoons natural peanut butter (about 1 ounce; 32g), see notes
1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume","In a blender, combine milk, frozen banana slices, peanut butter, and salt. Blend on high speed until completely smooth, about 1 minute."
Soft-Scrambled Eggs Recipe,PT5M,PT5M,PT10M,1,N/A,"3 large eggs, beaten
1/8 teaspoon kosher salt
2 tablespoons (30ml) milk (optional; see note)
1/2 tablespoon (7g) unsalted butter
Freshly ground black or white pepper","In a small bowl, beat eggs with salt and milk (if using) until no visible egg whites remain. In a small nonstick skillet, combine beaten eggs with butter. Set over medium heat and cook, stirring with a silicone spatula, until eggs are moist and just beginning to set. Remove from heat and continue to cook, stirring, until eggs have just set into soft curds; return to heat briefly if needed to cook slightly more. Season with pepper and serve right away."
Avocado Smoothie,PT5M,N/A,PT5M,2,N/A,"1 1/2 cups (355ml) orange juice
1 ripe medium Hass avocado (about 6 ounces; 170g)
1 1/2 cups frozen mango (about 8 ounces; 227g)
1 ripe banana (about 6 ounces; 170g)
1 packed cup (40g) baby spinach, washed well of any sand or grit","Combine orange juice, avocado, frozen mango, banana, and spinach in a blender. Pulse a few times to break up the fruit, then blend on high until completely smooth, about 1 minute."
Breakfast Bars,PT10M,PT15M,PT520M,12,N/A,"Cooking spray
1 1/2 cups uncooked old-fashioned rolled oats (5 1/2 ounces; 156g)
2 tablespoons light brown sugar (5/8 ounce; 20g)
1 tablespoon (15ml) extra-virgin olive oil
3 tablespoons (45ml) honey, divided
5 medium pi Microwave Granolatted Medjool dates, roughly chopped (about 1/2 cup)
3/4 cup (180ml) unsweetened creamy sunflower butter, peanut butter, almond butter, or cashew butter
1/4  cup unsweetened dried blueberries, raisins, currents, chopped dried figs, or dried cranberries (1 3/4 ounce; 50g)
1/4 cup (1 1/2 ounces; 45g) chia seeds
1/4 cup (1 3/8 ounces; 40g) hemp seeds
1/4 cup (1 1/4 ounces; 36g) raw unsalted sunflower kernels
2 tablespoons (30ml) fruit preserves, such as blueberry, cherry, or raspberry
½ teaspoon kosher salt","Adjust oven rack to middle position and preheat oven to 325°F(160℃). Coat an 8-inch square baking pan with cooking spray; line bottom and sides with parchment paper, leaving a 2-inch overhang on all sides. Line a large baking sheet with parchment paper. Set both aside.
In a medium bowl, stir oats, brown sugar, oil, and 2 tablespoons of the honey until well combined. Spread oat mixture evenly onto the parchment-lined baking sheet. Bake, stirring every 5 minutes and returning to an even layer, until golden brown and crisp, about 15 minutes. Let cool completely on a wire rack, about 15 minutes.
While oats are cooling, in a food processor, process dates and seed or nut butter until smooth, 1 to 2 minutes, scraping down sides of processor bowl as needed.
In a large bowl, stir together the cooled oats, sunflower butter mixture, dried fruit, chia seeds, hemp seeds, sunflower kernels, fruit preserves, salt, and remaining 1 tablespoon honey until well combined and the mixture holds together, 1 to 2 minutes.
Spread oat mixture firmly into the bottom of prepared baking pan, using bottom of a greased measuring cup to press into a flat even layer. Press plastic wrap directly onto surface of oats mixture; wrap baking pan in additional plastic wrap, and refrigerate until cold and firm, at least 8 hours or up to 3 days.
Remove and discard plastic. Using parchment overhang as handles, remove bars; place on a cutting board. Cut bars into 1 1/4- x 4-inch squares. Serve or refrigerate in an airtight container for up to 3 weeks."
Honey-Butter Toast,PT10M,PT15M,PT35M,2,N/A,"2 tablespoons (30g) unsalted butter, softened
2 tablespoons (30g) light brown sugar
2 1/2 teaspoons (15g) honey, divided, plus more for drizzling
1/8 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume
1/8 teaspoon ground cinnamon
1/8 teaspoon ground cardamom (optional)
One  2-inch thick slice brioche, challah, milk bread, or soft white bread (3 ounces; 90g)
1/4 cup (113g) strained Greek-style yogurt
1/4 teaspoon vanilla bean paste
Fresh mixed berries, for serving","Preheat oven to 325°F. Line a small rimmed baking sheet with parchment. In a small bowl, stir together butter, brown sugar, 1 1/2 teaspoons of the honey, salt, cinnamon, and cardamom (if using) until smooth.
If desired, trim crusts from bread to yield a perfectly square slice. Spread a thin layer of butter mixture over top, bottom, and sides of each bread slice. Place on prepared baking sheet.
Bake until very lightly golden-brown, 12 to 16 minutes. Flip slices and continue to bake until evenly golden, 5 to 7 minutes longer.
Remove from oven and cool on baking sheet for 5 minutes. Transfer to a wire rack and cool until crispy, about 10 minutes.
While toast cools, whisk together yogurt and vanilla bean paste until smooth. Stir in remaining 1 teaspoon honey, maintaining a swirl by not completely stirring it in.
Place crisped toast on a plate; dollop with yogurt, then spoon berries on top. Drizzle with more honey, if desired. Serve immediately."
Perfect Quick-and-Easy French Toast,PT5M,PT35M,PT40M,4,N/A,"6 large eggs
4 tablespoons sugar, plus more for sprinkling
Pinch kosher salt
Pinch ground cinnamon
Pinch freshly grated nutmeg
1/4 teaspoon vanilla extract
2 cups whole milk
4 tablespoons unsalted butter for the pan, plus more for serving
Eight (1/2-inch thick) slices white bread
Maple syrup, for serving","Set a wire rack on a rimmed baking sheet in the oven and preheat to 200°F (93°C). If using very fresh, moist bread, arrange slices in a single layer on the rack and cook in oven, turning once, until lightly toasted, about 10 minutes.
Meanwhile, in a large mixing bowl, whisk together eggs, sugar, salt, cinnamon, nutmeg, and vanilla until thoroughly combined. Add milk and whisk to blend.
Heat 1 tablespoon butter in a large non-stick or cast iron skillet over medium heat, swirling skillet, until foaming subsides, about 5 minutes. Soak 2 slices of bread in egg bath, turning, until saturated. Add soaked bread to skillet and cook, swirling occasionally, until browned on bottom side, about 3 minutes. Sprinkle top side of bread with sugar, flip, and continue to cook, swirling occasionally, until browned on second side, about 3 minutes longer. Transfer French toast to the rack in the oven in a single layer to keep warm and repeat with remaining slices of bread and egg bath.
Serve French toast with pats of butter and maple syrup."
Thick and Fluffy Pancakes From Homemade Pancake Mix Recipe,N/A,N/A,PT10M,8,N/A,"For the Pancake Mix:
4 1/2 ounces all-purpose flour, such as Gold Medal blue label (about 1 cup, spooned; 125g)
1/2 ounce sugar (about 1 tablespoon; 15g)
1/2 ounce malted milk powder, such as Carnation or Hoosier Hill Farms (about 2 tablespoons; 15g)
1 1/2 teaspoons (6.8g) baking powder
1/2 teaspoon (2g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight
1/4 teaspoon (1.6g) baking soda
2 1/2 ounces refined coconut oil, solid and firm, between 68°F and 72°F (about 1/3 cup; 70g)
For the Pancakes:
4 ounces milk, any percentage will do , or non-dairy alternatives (about 1/2 cup; 115g)
1 large egg, straight from the fridge (1 3/4 ounces; 50g)
1/4 ounce vanilla extract (about 1 1/2 teaspoons ; 7g)
1 batch pancake mix, above (about 1 1/2 cups; 8 1/4 ounces; 233g)","For the Pancake Mix: In the bowl of a food processor, combine flour, sugar, malted milk powder, baking powder, salt, and baking soda. Process about 30 seconds to ensure the leavening agents are fully homogenized into flour.
Add solid coconut oil and pulse only until it disappears into a dry and powdery mix, just a few seconds. It&#39;s important that the coconut oil is fully combined into the flour, while also remaining powdery and dry, so use caution and avoid over-processing, especially with larger batches. At this point, you can either continue with the recipe or transfer the mix to an airtight container and store up to one year at or below 74°F (24°C), or until the date stamped on the package of coconut oil.
For the Pancakes: Preheat an electric griddle to 350°F (177°C), or heat a large, nonstick skillet to a similar temperature on the stovetop. In a large mixing bowl, whisk milk, egg, and vanilla extract until well combined. Add the prepared pancake mix, and whisk until relatively smooth, although a few flecks of coconut oil may dot the batter.
With a large scoop, measuring cup, or piping bag, divide batter in 1/3-cup portions (or as desired), and griddle until golden brown on either side, and cooked through the middle, about 90 seconds per side. Serve immediately, with butter, maple syrup, fresh fruit, whipped cream, or whatever other toppings sound fun.
Troubleshooting: The timing and yield of this recipe will vary substantially depending on how the pancake batter is portioned as well as the exact temperature of the griddle itself. When pancakes are excessively browned but raw in the middle, the griddle is likely too hot; when the pancakes are cooked through but too soft and pale, the griddle may be too cool."
Perfect Microwave Poached Eggs,PT2M,PT6M,PT8M,1,N/A,"1 cup (240ml) water1 teaspoon (15ml) vinegar, such as rice vinegar, white wine vinegar, or apple cider vinegar1 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume1 large egg, cracked into a small bowl or ramekin","In a small microwave-safe bowl, whisk water, rice vinegar, and salt until well-combined. Place bowl in microwave and heat water at 100% power in 1 minute intervals until 209 to 212ºF (98 to 100ºC), about 4 minutes total.
Using oven mitts or a kitchen towel, carefully remove bowl from microwave and gently slip the egg into water. Return bowl to microwave and cook at 80% power until the whites are fully set but yolks are still soft, about 1 minute and 20 seconds.
While eggs are cooking, place a paper towel on a plate; set aside.
Using a slotted spoon, carefully lift egg from bowl, allowing any excess liquid to drip back into the bowl. Transfer to paper-towel lined plate and, using a paring knife or scissors, trim whites if desired. Serve immediately."
Ful Medames (Egyptian Breakfast Fava Beans With Tahini),PT10M,N/A,PT10M,4,N/A,"3 cloves garlic
1 teaspoon cumin seeds, freshly toasted
Kosher salt
2 (15-ounce) cans fava beans
3 tablespoons tahini
2 to 3 tablespoons lemon juice from 2 lemons, or more to taste","Put garlic cloves, cumin seeds, and a pinch of salt in a mortar and pestle and crush until seeds are cracked and garlic is in small, flimsy chunks. If you don&#39;t have a mortar and pestle, mince garlic very fine.
Empty fava beans (with liquid) into a medium saucepan and combine with tahini and garlic paste. Cook over medium-high heat, stirring frequently, until liquid retains some brothiness but turns thick and sauce-like, about 5 minutes.
Add lemon juice and salt to taste. Mash one-third of the beans with a potato masher to thicken if desired, then serve with toasted pita."
&#39;Nduja Scrambled Eggs Recipe,PT5M,PT15M,PT20M,2,N/A,"6 large eggs, lightly beaten
1/4 cup (60ml) milk or heavy cream (optional; see note)
1/4 teaspoon (1g) kosher salt
1 tablespoon (15g) unsalted butter
2 ounces (1/4 cup; 60g) &#39;nduja (see note)
Freshly ground black pepper
Thinly sliced fresh chives, for serving (optional)
Sliced, toasted bread, for serving","In a medium bowl, use a fork to beat eggs with milk (if using) and salt until homogenous and no visible egg whites remain, about 30 seconds.
In a 10-inch nonstick skillet, melt butter over medium-low heat until foaming. Add egg mixture and cook, stirring frequently with a heat-resistant rubber spatula, making sure to scrape bottom and sides of skillet, until eggs begin to thicken and form small curds, 6 to 8 minutes. Continue to cook, stirring vigorously to break up large curds, until eggs are thick enough to hold their shape, 3 to 5 minutes longer.
Add &#39;nduja and stir vigorously until incorporated and emulsified, about 30 seconds. Remove from heat and season with pepper. Divide scrambled eggs between individual serving plates, sprinkle with chives (if using), and serve right away with toasted bread."
Florentine Omelette With Spinach and Cheese Recipe,PT5M,PT15M,PT20M,2,N/A,"5 large eggs
Kosher salt and freshly ground black or white pepper
3 1/2 ounces (100g) grated Gruyère or Swiss cheese
2 tablespoons (30g) unsalted butter, divided
2 medium cloves garlic, minced
1 pound (450g) fresh Savoy spinach, thoroughly washed, or 10 ounces (283g) defrosted frozen spinach (see note)","In a medium bowl, season eggs with salt and pepper, then whisk until homogeneous and frothy. Set aside.
Add cheese to a separate medium heatproof bowl, and line a large plate with a double layer of paper towels. In a 10-inch nonstick skillet, melt 1 tablespoon (15g) butter over medium-high heat. Add garlic and cook, stirring frequently, until garlic is aromatic and just begins to soften, about 30 seconds.
If using fresh spinach: Add spinach to skillet, cover, and cook until just wilted, about 2 minutes (you may have to press down on the spinach with the lid at first to cover, but the spinach will rapidly lose volume as it wilts). Uncover, season with salt and pepper, and stir to combine. Increase heat to medium-high and cook, stirring frequently, until spinach is very soft and most of the liquid it has released has evaporated, about 4 minutes.
If using defrosted frozen spinach: Add spinach to skillet, season with salt and pepper, and stir well to combine. Increase heat to medium-high and cook, uncovered, until excess water has evaporated, about 4 minutes.
Transfer cooked spinach to paper towel-lined plate, roll up in the towels, and squeeze gently to extract any additional excess moisture; discard paper towels and any accumulated liquid. Transfer hot spinach to bowl with cheese.
Wipe out now-empty skillet, and melt remaining 1 tablespoon (15g) butter over medium heat, swirling frequently, until butter is lightly browned. Re-whisk eggs until foamy, then add to skillet and cook, using a silicone spatula to push the edges in toward the center as they set and tilting the pan to spread the uncooked egg underneath. Continue pushing in the edges of the eggs and tilting the skillet, working all around the pan, until omelette is almost set, about 45 seconds.
Sprinkle spinach and cheese mixture over half of omelette, remove from heat, cover, and let omelette sit until mostly or fully cooked through on top (depending on your preferred consistency), about 1 minute.
Using silicone spatula, loosen the edges of the omelette from skillet and shake skillet to ensure that it&#39;s not stuck. Carefully fold omelette in half to enclose the filling, then slide it onto a serving plate and serve immediately."
Tortang Talong (Filipino Eggplant Omelette) ,PT20M,PT55M,PT75M,4,N/A,"4 medium Japanese eggplant (about 1 1/2 pounds; 680g total) (see note)
2 tablespoons (30ml) plus 3/4 cup (175ml) vegetable oil, divided, plus extra as needed
1 small yellow onion (4 ounces; 115g), finely chopped
1 medium garlic clove, minced
Kosher salt and freshly ground black pepper
8 ounces (225g) ground pork
1 tablespoon (15ml) oyster sauce
1 1/2 teaspoons (8ml) fish sauce
1 1/2 teaspoons (8ml) soy sauce
5 large eggs (250g), divided
Cooked white rice, for serving
Ketchup or banana ketchup , for serving","Adjust oven rack to middle position and preheat oven to 350°F (180°C). With the tip of a sharp knife, poke four 1/2-inch slits in each eggplant. Place eggplant on a rimmed baking sheet lined with parchment paper or aluminum foil and roast until fully tender, offering little to no resistance when pierced with a knife, about 30 minutes. Set aside until cool enough to handle, about 15 minutes.
Peel eggplant as best as you can, leaving stems attached; discard skin. With the back of a fork, press down firmly to flatten each eggplant along its length until it resembles a large teardrop in shape; set aside.
In a 12-inch stainless steel, cast iron, or nonstick skillet, heat 2 tablespoons (30ml) vegetable oil over medium-high heat. Add onion and garlic, season lightly with salt, and cook, stirring frequently, until soft and translucent, about 5 minutes. Add ground pork and cook, stirring occasionally and breaking up any large pieces, until cooked through and lightly browned, about 4 minutes. Add oyster sauce, fish sauce, and soy sauce and continue to cook, stirring frequently, until liquid is absorbed, about 1 minute. Remove skillet from heat, and set aside to let cool slightly.
In a medium bowl, beat 3 eggs until homogenous and frothy. Add ground pork mixture and stir to combine; set aside. In a wide, shallow dish, beat remaining 2 eggs until homogenous and frothy, season with salt and pepper, and set aside. Clean skillet and return to stovetop.
Adjust oven temperature to 200°F (95°C). Set a wire rack in a rimmed baking sheet and line with a double layer of paper towels. In the cleaned skillet, heat 3/4 cup (175ml) vegetable oil over medium-high heat until shimmering. Working with one eggplant at a time, hold eggplant by stem, and evenly coat on all sides with beaten egg mixture. Allow excess egg to drip off, and carefully add to skillet. Repeat coating process with second eggplant and add to skillet. Top each eggplant with a heaping 1/4 cup (60g) of ground pork mixture, evenly pressing mixture down along the length of each eggplant to ensure it adheres to the surface. Cook, shaking pan occasionally, until bottom side is golden brown and crisp, about 3 minutes. Using a slotted spatula, carefully flip eggplant and continue to cook until golden brown on second side, about 1 minute 30 seconds.
Transfer eggplant to prepared baking sheet, then transfer to oven to keep warm. Repeat coating and cooking process with remaining eggplant, adding more oil to skillet as needed.
Transfer to individual plates and serve immediately with white rice and ketchup."
"Western Omelette With Bell Pepper, Onion, Ham, and Cheese Recipe",PT5M,PT20M,PT25M,2,N/A,"5 large eggs
Kosher salt and freshly ground black or white pepper
2 ounces (55g) grated cheddar, pepper Jack, or Swiss cheese
2 tablespoons (30g) unsalted butter, divided
Half of one large green, red, or yellow bell pepper (4 oz; 110g), stemmed, seeded, and cut into 1/2-inch dice
One quarter of one medium yellow onion (2 oz; 55g), cut into 1/2-inch dice
Pinch smoked paprika
2 1/2 ounces (70g) ham (about 3 slices), cut into 1/2-inch pieces","In a medium mixing bowl, season eggs with salt and pepper, then whisk until homogeneous and frothy. Set aside.
Meanwhile, add cheese to a medium heatproof mixing bowl. In a 10-inch nonstick skillet, melt 1 tablespoon butter over medium-high heat, swirling, until lightly browned. Add bell pepper and onion, season with salt, and cook, stirring occasionally, until softened and beginning to brown, about 6 minutes. Add ham and cook, stirring occasionally, until vegetables and ham are browned in spots and smell pleasantly smoky, about 5 minutes longer. Stir in smoked paprika and freshly ground black pepper. Scrape vegetables and ham into the cheese and stir to combine.
Wipe out skillet and set over medium heat. Add remaining 1 tablespoon butter and cook until melted and lightly browned. Re-whisk eggs until foamy, then add to skillet and cook, using a silicone spatula to push the edges in toward the center as they set and tilting the pan to spread the uncooked egg underneath. Continue pushing in the edges of the eggs and tilting the skillet, working all around the pan, until omelette is almost set, about 45 seconds.
Sprinkle ham, vegetables, and cheese over half of omelette, remove from heat, cover, and let omelette sit until mostly or fully cooked through on top (depending on your preferred consistency), about 1 minute.
Using silicone spatula, loosen the edges of the omelette from skillet and shake skillet to ensure that it&#39;s not stuck. Carefully fold omelette in half to enclose the filling, then slide it onto a serving plate and serve immediately."
Classic French Omelette,PT5M,PT5M,PT10M,1,N/A,"3 large eggs
Kosher salt and freshly ground white or black pepper
1 tablespoon (15g) unsalted butter","In a medium bowl, beat eggs with a disposable plastic or reusable wooden fork just until last traces of white are mixed in; season with salt and pepper.
In a perfectly unscratched 8-inch nonstick skillet, melt butter, swirling over moderate heat, until fully melted and foamy but not browned. Add eggs and stir rapidly with fork, tines up, while shaking pan to agitate eggs; make sure to move fork all around pan to break up curds and scrape them from bottom of skillet as they form. Stop stirring as soon as eggs are very softly scrambled and creamy (but still loose enough to come together into a single mass), 1 to 2 minutes.
Using fork, gently spread egg in an even layer around skillet and scrape down any wispy bits around the edges. The top surface should be loose and creamy, but if it looks too liquid and raw, cook undisturbed for another few seconds. (If it still flows, you can swirl skillet to send loose egg to the edges, where it will set more quickly.)
Remove from heat, tilt skillet up by its handle, and, using fork, gently roll omelette down over itself until it is nearly folded in half. Using fork, push omelette to edge of skillet so that lower edge of egg begins to just barely overhang; use fork to fold overhanging edge of egg up, closing omelette.
Hold skillet right over plate and turn omelette out onto it. It should be almond- or cigar-shaped, with the seam on bottom; if it&#39;s not, lay a clean kitchen towel over it and use your hands to adjust its shape and position, then remove towel. Serve. (To make another omelette, wipe any eggy bits out of skillet and repeat.)"
